State,Score,Abbreviation
Idaho,4.02,ID
Washington,3.88,WA
Oregon,3.94,OR
Colorado,3.91,CO
Nevada,4.13,NV
Utah,3.91,UT
California,3.9,CA
Alaska,4.22,AK
Arizona,3.95,AZ
Hawaii,4.12,HI
Kansas,3.93,KS
Oklahoma,3.92,OK
Texas,3.92,TX
New Mexico,4.05,NM
Missouri,3.92,MO
Arkansas,3.86,AR
Louisiana,3.93,LA
Mississippi,4.06,MS
Alabama,3.81,AL
Tennessee,3.89,TN
Georgia,3.92,GA
South Carolina,4.02,SC
Kentucky,3.93,KY
Florida,3.97,FL
North Carolina,4.01,NC
Virginia,3.95,VA
Maryland,3.86,MD
Delaware,3.7,DE
New Jersey,3.97,NJ
New York,3.84,NY
Massachusetts,3.91,MA
Rhode Island,3.99,RI
New Hampshire,3.73,NH
Maine,4.04,ME
Vermont,3.83,VT
Indiana,3.91,IN
Pennsylvania,3.91,PA
Connecticut,3.87,CT
West Virginia,3.97,WV
Ohio,3.94,OH
Michigan,3.97,MI
Wisconsin,4.08,WI
Minnesota,3.83,MN
North Dakota,3.65,ND
Illinois,3.88,IL
Iowa,3.89,IA
Nebraska,4.22,NE
South Dakota,3.79,SD
Wyoming,4.0,WY
Montana,4.08,MT
